,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
240,ARO,ARO,ARBOLETES,Arboletes,Antioquia,Aeródromo,8.8394,-76.43,MUNICIPIO,MUNICIPIO,1100.0,10.0,6000.0,13.0," 4381,000",2002-09-04,nan,2B,Público,5.0,5,5051
241,ARQ,ARQ,EL TRONCAL,Arauquita,Arauca,Aeródromo,7.0211,-71.3889,AEROCIVIL,AEROCIVIL,960.0,12.0,12202.0,509.0," 1073,000",1969-09-15,nan,2C,Aerocivil,70.0,81,81065
243,ATC,nan,ATACO,Ataco,Tolima,Aeródromo,3.5837,-75.3891,MUNICIPIO,MUNICIPIO,800.0,15.0,4000.0,1519.0,"  156,000",1957-07-23,nan,2A,Público,1.0,73,73067
244,AUC,AUC,SANTIAGO PEREZ QUIROZ,Arauca,Arauca,Nacional,7.0689,-70.737,AEROCIVIL,AEROCIVIL,2100.0,30.0,nan,418.0,"  984,000",1987-02-02,nan,4C,Aerocivil,25923.0,81,81001
245,AUR,nan,EL CORAJE,Ariguaní,Magdalena,Aeródromo,10.0247,-74.067,CAMAGUEY S.A.,CAMAGUEY S.A.,720.0,15.0,4000.0,282.0," 7094,000",2013-12-19,nan,1A,Privado,30.0,47,47058
250,BAL,nan,INGENIO RISARALDA,Balboa,Risaralda,Aeródromo,4.8948,-75.9044,INGENIO RISARALDA,ING.RISARALDA-ASOCAÑA,250.0,10.0,500.0,3034.0," 2954,000",2013-06-20,2015-08-05,1A,Fumigación,nan,66,66075
251,BAN,nan,BANCO LARGO,Nunchía,Casanare,Aeródromo,5.4631,-72.0631,JAVIER CHINCHILLA MUNAR,SFA- LTDA,840.0,10.0,2000.0,692.0," 7056,000",2012-12-07,nan,1A,Fumigación,nan,85,85225
253,BAR,nan,GUAICARAMO,Barranca de Upía,Meta,Aeródromo,4.4605,-72.9509,GUAICARAMO S.A.,GUAICARAMO S.A.,800.0,18.0,5500.0,649.0," 7236,000",2013-12-27,nan,1A,Fumigación,17.0,50,50110
255,BBA,nan,PIZARRO,Bajo Baudó,Chocó,Aeródromo,4.9608,-77.3633,MUNICIPIO,MUNICIPIO,1000.0,10.0,nan,10.0," 6365,000",2008-12-30,nan,1A,Público,4944.0,27,27077
259,BEC,nan,BECERRIL,Becerril,Cesar,Aeródromo,9.6628,-73.2744,MUNICIPIO,FUMILLANOS,1300.0,27.0,3500.0,320.0," 2989,000",2008-07-02,nan,3B,Fumigación,51.0,20,20045
264,BIC,nan,BERASTEGUI,Ciénaga de Oro,Córdoba,Aeródromo,8.8845,-75.6835,AEROCIVIL,AEROCIVIL,1530.0,20.0,2000.0,48.0,"  984,000",1987-02-02,nan,0B,Aerocivil,1.0,23,23189
265,BIZ,nan,BIZERTA,Nunchía,Casanare,Aeródromo,5.4225,-71.9936,CELMIRA BARRAGAN F.,FUMIVILLA LTDA,700.0,10.0,2000.0,639.0,"  151,000",2013-01-25,nan,1A,Fumigación,1.0,85,85225
268,BMG,nan,BARRANCO MINAS,Barranco Minas,Guainía,Aeródromo,3.4907,-69.8097,GOBERNACION,DEPARTAMENTO,900.0,15.0,nan,125.0," 2477,000",1972-09-11,nan,1A,Público,3058.0,94,94343
270,BNI,nan,BOLUGA,Venadillo,Tolima,Aeródromo,4.6903,-74.8894,MARGOT URIBE DE SAMPER Y CIA,CRUZ VERDE,640.0,10.0,3000.0,1092.0," 2172,000",2012-04-30,nan,1A,Fumigación,nan,73,73861
271,BNO,nan,BUENOS AIRES,Puerto Wilches,Santander,Aeródromo,7.462,-73.7464,AGRICOLA BUFALERA DE COLOMBIA,EL MISMO,1060.0,18.0,3500.0,229.0," 7239,000",2012-12-19,nan,1A,Privado,26.0,68,68575
272,BNP,nan,BUENOS AIRES -FADELCE,Pailitas,Cesar,Aeródromo,9.02,-73.6725,FADELCE LTDA,FADELCE LTDA,840.0,15.0,2000.0,82.0,"   24,000",2009-01-07,2012-02-12,2A,Fumigación,2.0,20,20517
274,BOG,BOG,EL DORADO,"Bogotá, D.C.","Bogotá, D.C.",Internacional,4.7017,-74.1469,AEROCIVIL,EN CONCESION CODAD,3800.0,60.0,nan,8356.0,"  320,000",1959-12-04,nan,4E,Aerocivil,1028334.0,11,11001
278,BUN,BUN,BUENAVENTURA-GERARDO TOBAR LOPEZ,Buenaventura,Valle del Cauca,Nacional,3.8196,-76.9899,AEROCIVIL,AEROCIVIL,1200.0,30.0,nan,44.0," 1026,000",1967-08-28,nan,2C,Aerocivil,4776.0,76,76109
313,CIM,CIM,GUSTAVO ROJAS PINILLA,Cimitarra,Santander,Aeródromo,6.3674,-73.9706,AEROCIVIL,AEROCIVIL,1500.0,40.0,12202.0,735.0,"  644,000",1967-06-05,nan,3C,Aerocivil,338.0,68,68190
317,CLO,CLO,ALFONSO BONILLA ARAGON,Palmira,Valle del Cauca,Internacional,3.5431,-76.3817,AEROCIVIL,CONCESION AEROCALI S.A.,3000.0,45.0,nan,3174.0,"  984,000",1987-02-02,nan,4E,Aerocivil,207439.0,76,76520
324,COG,COG,CONDOTO MANDINGA,Condoto,Chocó,Regional,5.072,-76.6766,AEROCIVIL,AEROCIVIL,1150.0,18.0,nan,166.0,"  984,000",1987-02-02,nan,2C,Aerocivil,5130.0,27,27205
330,CPL,CPL,NAVAS PARDO,Chaparral,Tolima,Aeródromo,3.7238,-75.4654,AEROCIVIL,AEROCIVIL,1200.0,15.0,nan,2729.0,"  499,000",1968-07-20,nan,2C,Aerocivil,538.0,73,73168
340,CTG,CTG,RAFAEL NUÑEZ,Cartagena de Indias,Bolívar,Internacional,10.442,-75.5123,AEROCIVIL,CONCESION-SACSA,2380.0,45.0,nan,7.0," 4501,000",2012-08-16,nan,4D,Aerocivil,131998.0,13,13001
344,CUC,CUC,CAMILO DAZA,San José de Cúcuta,Norte de Santander,Internacional,7.9274,-72.5116,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1920.0,45.0,nan,1027.0,"  984,000",1987-02-02,nan,4D,Aerocivil,72216.0,54,54001
345,CUC,CUC,CAMILO DAZA No.2,San José de Cúcuta,Norte de Santander,Internacional,7.9274,-72.5116,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,2320.0,45.0,nan,1027.0,"  984,000",1987-02-02,nan,4A,Aerocivil,nan,54,54001
353,CZU,CZU,LAS BRUJAS,Corozal,Sucre,Regional,9.3325,-75.2853,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1430.0,22.0,nan,519.0," 1862,000",1971-07-19,nan,3C,Aerocivil,14822.0,70,70215
371,EJA,EJA,YARIGUIES,Barrancabermeja,Santander,Nacional,7.0244,-73.8068,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1800.0,45.0,61100.0,414.0,"  115,000",1965-09-02,nan,3C,Aerocivil,27366.0,68,68081
372,EJU,nan,EL JUNCAL,Palermo,Huila,Aeródromo,2.8471,-75.3133,ASOJUNCAL,SANIDAD VEGETAL CRUZ VERDE,620.0,10.0,2000.0,1509.0," 4949,000",2010-10-01,nan,1A,Fumigación,2.0,41,41524
374,ELB,ELB,LAS FLORES,El Banco,Magdalena,Aeródromo,9.0428,-73.9715,AEROCIVIL,AEROCIVIL,1225.0,28.0,19045.0,110.0," 1374,000",1978-04-06,nan,3B,Aerocivil,589.0,47,47245
397,EYP,EYP,EL ALCARAVAN,Yopal,Casanare,Nacional,5.3191,-72.3842,AEROCIVIL,AEROCIVIL,2250.0,30.0,nan,1016.0,"  984,000",1987-02-02,nan,3C,Aerocivil,92726.0,85,85001
401,FLA,FLA,GUSTAVO ARTUNDUAGA PAREDES,Florencia,Caquetá,Nacional,1.589,-75.5643,AEROCIVIL,AEROCIVIL,1500.0,30.0,nan,803.0,"  984,000",1987-02-02,nan,3C,Aerocivil,16997.0,18,18001
421,GPI,GPI,JUAN CASIANO,Guapí,Cauca,Regional,2.57,-77.898,AEROCIVIL,AEROCIVIL,1300.0,16.0,nan,164.0,"  245,000",1960-08-17,nan,3C,Aerocivil,7490.0,19,19318
431,GYM,nan,FLAMINIO S. CAMACHO,Chía,Cundinamarca,Aeródromo,4.8125,-74.0651,AEROCIVIL,AEROCIVIL,1720.0,20.0,7000.0,8386.0,"  984,000",1987-02-02,nan,2B,Aerocivil,4571.0,25,25175
443,HTZ,HTZ,HATO COROZAL,Hato Corozal,Casanare,Aeródromo,6.1535,-71.7616,AEROCIVIL,AEROCIVIL,1040.0,14.0,12202.0,830.0,"  502,000",1967-05-05,nan,2C,Aerocivil,195.0,85,85125
444,IBE,IBE,PERALES,Ibagué,Tolima,Nacional,4.4217,-75.1336,AEROCIVIL,AEROCIVIL,1800.0,30.0,nan,3114.0,"  984,000",1987-02-02,nan,3C,Aerocivil,36819.0,73,73001
446,IGO,IGO,JAIME ORTIZ BETANCUR,Chigorodó,Antioquia,Aeródromo,7.6772,-76.683,MUNICIPIO,MUNICIPIO,840.0,18.0,6400.0,170.0," 4545,000",2012-08-17,nan,1A,Público,250.0,5,5172
448,IPI,IPI,SAN LUIS,Aldana,Nariño,Internacional,0.8619,-77.6718,AEROCIVIL,AEROCIVIL,1770.0,28.0,nan,9740.0,"  455,000",1969-05-19,nan,3C,Aerocivil,4193.0,52,52022
548,MFS,MFS,MIRAFLORES,Miraflores,Guaviare,Aeródromo,1.3377,-71.9507,MUNICIPIO,MUNICIPIO,1320.0,25.0,25000.0,730.0,"   21,000",1957-01-30,nan,3B,Público,4188.0,95,95200
549,MGN,MGN,BARACOA,Magangué,Bolívar,Aeródromo,9.2849,-74.8465,AEROCIVIL,AEROCIVIL,1410.0,20.0,33112.0,195.0,"  352,000",1968-05-17,nan,2B,Aerocivil,560.0,13,13430
562,MMP,MVP,SAN BERNARDO,Mompós,Bolívar,Aeródromo,9.2583,-74.4383,AEROCIVIL,AEROCIVIL,1175.0,14.0,16300.0,72.0,"  352,000",1968-05-17,nan,2A,Aerocivil,924.0,13,13468
570,MQU,MQU,JOSE CELESTINO,San Sebastián de Mariquita,Tolima,Regional,5.2126,-74.8837,AEROCIVIL,AEROCIVIL,1790.0,45.0,nan,1531.0,"   51,000",1968-01-24,nan,2A,Aerocivil,1428.0,73,73443
579,MTB,MTB,EL PINDO,Montelíbano,Córdoba,Regional,7.9733,-75.4413,AEROCIVIL,AEROCIVIL,1100.0,26.0,12202.0,160.0," 3107,000",1981-04-08,nan,2C,Aerocivil,1863.0,23,23466
584,MTR,MTR,LOS GARZONES,Montería,Córdoba,Nacional,8.8239,-75.8261,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1860.0,35.0,nan,19.0,"  984,000",1987-02-02,nan,4C,Aerocivil,70624.0,23,23001
594,MVP,MVP,FABIO A. LEON BENTLEY,Mitú,Vaupés,Regional,1.2535,-70.2341,MUNICIPIO,AEROCIVIL,1880.0,30.0,nan,680.0,"   34,000",1958-02-19,nan,3C,Aerocivil,35858.0,97,97001
607,NQU,NQU,REYES MURILLO,Nuquí,Chocó,Regional,5.712,-77.2627,AEROCIVIL,AEROCIVIL,930.0,10.0,nan,13.0,"    2,279",1975-08-21,nan,1A,Aerocivil,13940.0,27,27495
615,NVA,NVA,BENITO SALAS,Neiva,Huila,Internacional,2.9499,-75.2941,AEROCIVIL,AEROCIVIL,1600.0,40.0,nan,1464.0,"   57,000",1958-02-28,nan,3C,Aerocivil,65289.0,41,41001
620,OCV,OCV,AGUAS CLARAS,Ocaña,Norte de Santander,Regional,8.3156,-73.3583,AEROCIVIL,AEROCIVIL,1200.0,30.0,19000.0,3850.0," 2363,000",1971-09-03,nan,2C,Aerocivil,2566.0,54,54498
632,ORU,nan,EL MEDANO,Orocué,Casanare,Aeródromo,4.7621,-71.7184,ALBERTO MENDOZA Y OTRO,EL MISMO,885.0,15.0,4950.0,485.0,"  828,000",2007-02-27,nan,1A,Privado,6.0,85,85230
634,OTU,OTU,REMEDIOS OTU,Remedios,Antioquia,Regional,7.0106,-74.7156,AEROCIVIL,AEROCIVIL,950.0,12.0,nan,2058.0,"  522,000",1968-07-03,nan,1A,Aerocivil,8663.0,5,5604
646,PCR,PCR,GERMAN OLANO,Puerto Carreño,Vichada,Regional,6.185,-67.4925,MUNICIPIO,AEROCIVIL,1800.0,30.0,nan,1915.0,"  551,000",1968-07-10,nan,3C,Aerocivil,6271.0,99,99001
661,PIP,RON,PAIPA JUAN JOSE RONDON,Paipa,Boyacá,Aeródromo,5.7644,-73.1057,AEROCIVIL,AEROCIVIL,1700.0,30.0,11400.0,8205.0,"  984,000",1987-02-02,nan,3C,Aerocivil,154.0,15,15516
673,PLT,PLT,LAS FLORES,Plato,Magdalena,Aeródromo,9.7985,-74.7831,AEROCIVIL,AEROCIVIL,1067.0,20.0,3500.0,86.0,"  876,000",1968-03-08,nan,2A,Aerocivil,298.0,47,47555
678,PPN,PPN,GUILLERMO LEON VALENCIA,Popayán,Cauca,Nacional,2.4542,-76.6099,AEROCIVIL,AEROCIVIL,1910.0,40.0,nan,5669.0,"  455,000",1969-05-19,nan,4C,Aerocivil,17602.0,19,19001
692,PSO,PSO,ANTONIO NARIÑO,Pasto,Nariño,Nacional,1.3964,-77.291,AEROCIVIL,AEROCIVIL,2177.0,40.0,nan,5896.0,"   95,000",1957-04-24,nan,4C,Aerocivil,23045.0,52,52001
696,PTL,PTX,CONTADOR,Pitalito,Huila,Regional,1.8573,-76.0856,AEROCIVIL,AEROCIVIL,1500.0,19.0,nan,4221.0," 2090,000",1974-10-22,nan,2B,Aerocivil,1251.0,41,41551
699,PTW,nan,GEMELOS DORADOS,Puerto Wilches,Santander,Aeródromo,7.2466,-73.7723,MILTON A. SALAZAR REY,EL MISMO,850.0,15.0,5670.0,314.0," 6473,000",2013-11-19,2017-01-09,1A,Privado,242.0,68,68575
703,PUU,PUU,TRES DE MAYO,Puerto Asís,Putumayo,Nacional,0.5054,-76.5008,AEROCIVIL,AEROCIVIL,1485.0,25.0,33112.0,809.0,"  115,000",1965-09-02,nan,3C,Aerocivil,18730.0,86,86568
704,PVA,PVA,EL EMBRUJO,Providencia,San Andrés islas,Nacional,13.3572,-81.3579,AEROCIVIL,AEROCIVIL,1050.0,18.0,nan,10.0,"  338,000",1969-04-23,nan,2B,Aerocivil,23333.0,88,88564
708,PZA,PZA,PAZ DE ARIPORO,Paz de Ariporo,Casanare,Aeródromo,5.8819,-71.883,AEROCIVIL,AEROCIVIL,1506.0,20.0,29000.0,878.0," 1591,000",1972-06-06,nan,2B,Aerocivil,772.0,85,85250
713,RAV,RAV,CRAVO NORTE,Cravo Norte,Arauca,Aeródromo,6.3167,-70.2111,AEROCIVIL,AEROCIVIL,1122.0,18.0,12202.0,336.0,"  343,000",1968-05-03,nan,3C,Aerocivil,3504.0,81,81220
714,RCH,RCH,ALMIRANTE PADILLA,Riohacha,La Guajira,Internacional,11.5262,-72.9267,MUNICIPIO,AEROCIVIL -ORIENTE S.A.S.,1900.0,30.0,nan,43.0,"  187,000",1987-02-02,nan,4C,Aerocivil,6241.0,44,44001
718,RVE,RVE,COLONIZADORES,Arauca,Arauca,Regional,6.9504,-71.8562,ECOPETROL,AEROCIVIL,800.0,30.0,nan,678.0," 4158,000",1983-09-25,nan,3C,Aerocivil,6315.0,81,81001
761,SMR,SMR,SIMON BOLIVAR,Santa Marta,Magdalena,Internacional,11.1197,-74.2473,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1700.0,40.0,nan,22.0,"  352,000",1968-05-17,nan,3C,Aerocivil,45781.0,47,47001
768,SNR,nan,SAN MARTIN,San Martín,Meta,Regional,3.7023,-73.6881,AEROCIVIL,AEROCIVIL,700.0,15.0,3000.0,1380.0,"  644,000",1967-06-05,nan,1A,Aerocivil,181.0,50,50689
787,SVI,SVI,EDUARDO FALLA SOLANO,San Vicente del Caguán,Caquetá,Regional,2.1522,-74.7663,AEROCIVIL,AEROCIVIL,1500.0,26.0,nan,875.0,"  141,000",1987-02-02,nan,3C,Aerocivil,5161.0,18,18753
797,TCO,nan,LA FLORIDA,San Andrés de Tumaco,Nariño,Nacional,1.8144,-78.749,AEROCIVIL,AEROCIVIL,1600.0,30.0,nan,10.0,"  455,000",1969-05-19,nan,3C,Aerocivil,12101.0,52,52835
798,TDA,TDA,TRINIDAD,Trinidad,Casanare,Aeródromo,5.4349,-71.6584,AEROCIVIL,AEROCIVIL,1148.0,10.0,12202.0,560.0,"  644,000",1967-06-05,nan,2A,Aerocivil,4313.0,85,85430
803,TLU,TLU,TOLU,Tolú Viejo,Sucre,Regional,9.5095,-75.5859,AEROCIVIL,AEROCIVIL,1350.0,16.0,12202.0,15.0,"  455,000",1969-05-19,nan,2A,Aerocivil,1967.0,70,70823
805,TME,TME,GUSTAVO VARGAS,Tame,Arauca,Regional,6.451,-71.7601,AEROCIVIL,AEROCIVIL,2000.0,30.0,33112.0,1199.0,"  343,000",1968-05-03,nan,4C,Aerocivil,5850.0,81,81794
819,TTM,TTM,TABLON DE TAMARA,Támara,Casanare,Aeródromo,5.7267,-72.1006,AEROCIVIL,AEROCIVIL,1317.0,30.0,12202.0,1650.0,"  644,000",1967-06-05,nan,2C,Aerocivil,13.0,85,85400
822,UIB,UIB,EL CARAÑO,Quibdó,Chocó,Nacional,5.6908,-76.6412,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1300.0,30.0,63196.0,192.0,"  522,000",1968-07-03,nan,3C,Aerocivil,88706.0,27,27001
828,URR,URR,ALI PIEDRAHITA,Urrao,Antioquia,Regional,6.3273,-76.1409,AEROCIVIL,AEROCIVIL,865.0,10.0,nan,6104.0,"  551,000",1968-07-10,nan,2A,Aerocivil,3524.0,5,5847
838,VGP,VGZ,CANANGUCHAL,Villagarzón,Putumayo,Regional,0.9785,-76.6064,AEROCIVIL,AEROCIVIL,1300.0,20.0,nan,397.0," 1270,000",1972-05-09,nan,3B,Aerocivil,5927.0,86,86885
848,VUP,VUP,ALFONSO LOPEZ PUMAREJO,Valledupar,Cesar,Nacional,10.4351,-73.2494,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,2100.0,30.0,nan,450.0,"  352,000",1968-05-17,nan,4C,Aerocivil,23158.0,20,20001
850,VVC,VVC,VANGUARDIA,Villavicencio,Meta,Nacional,4.1684,-73.6147,AEROCIVIL,AEROCIVIL,1940.0,30.0,nan,1366.0,"  499,000",1968-06-12,nan,3C,Aerocivil,117754.0,50,50001
855,VVU,nan,SANTA ISABEL,Villavicencio,Meta,Aeródromo,3.9873,-73.2091,EFA LTDA.,EFA LTDA.,800.0,10.0,2000.0,689.0," 2634,000",2012-05-24,nan,1A,Fumigación,1.0,50,50001
857,YAP,nan,YAPIMA,Mitú,Vaupés,Aeródromo,1.0825,-69.4914,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,500.0,15.0,2300.0,600.0," 3423,000",1997-09-16,nan,1A,Público,2.0,97,97001
858,YOP,nan,TROMPILLOS,Yopal,Casanare,Aeródromo,5.0932,-72.1807,ALEXANDER RIVERA,CELTA LTDA.,800.0,15.0,2000.0,623.0," 4736,000",2013-09-06,nan,1A,Fumigación,4.0,85,85001
860,YPP,nan,GERMAN ALBERTO,Yopal,Casanare,Aeródromo,5.1875,-72.3191,JOSE NELSON PEREZ R.,CELTA LTDA.,800.0,15.0,2000.0,735.0," 4511,000",2012-08-16,2015-09-07,1A,Fumigación,12.0,85,85001
862,ZPS,AZT,GUILLERMO GOMEZ ORTIZ,Zapatoca,Santander,Aeródromo,6.7674,-73.2846,MUNICIPIO,MUNICIPIO,700.0,14.0,2300.0,5918.0,"   11,000",1968-01-09,nan,1A,Público,30.0,68,68895
